Portfolio,Mean Return,Std Dev,t-stat,p-value,Sharpe Ratio,Obs
Loser (Q1),0.005439171518765315,0.03921382498717624,2.38234446043095,0.01783849517590105,1.0002192753889718,295
Q2,0.004106026009789433,0.03840450119507561,1.836329348786677,0.0673185514221187,0.770976674920746,295
Q3,0.004332992887315769,0.03272585960700398,2.2624987029973638,0.024403844961392588,0.9547696053853494,292
Q4,0.005885976024253882,0.035616717921831964,2.8384130831078305,0.004849564536156867,1.1916981462567886,295
Winner (Q5),0.004815892823909405,0.050045231647267686,1.6500145529064159,0.10001150991919472,0.6939301884395391,294
spread,0.0006366976566103144,0.05135880262381912,0.21292633034339534,0.8315319892150446,0.0893964006400562,295
