Variable,coef,t_stat,p_value,std_err
const,0.014679499049321176,7.9290258563996705,2.2087156098250517e-15,0.001851362237326174
abs_rm,0.6054318703620446,4.423252245015847,9.722611370405203e-06,0.1368748235066742
sq_rm,0.34464502736544633,2.86234055668518,0.004205247853862903,0.12040671630093273
