,Mean Spread (L-W),t-stat,p-value,Obs
1W-form / 1W-hold,0.010118998301666637,10.279707213473266,1.635427370696185e-23,901.0
1M-form / 1W-hold,0.0017170381270472561,0.5012598281934854,0.6207550845435882,25.0
1M-form / 1M-hold,0.010028186057715908,1.9090917917210388,0.05842068431469766,133.0
