Period,Mean Reversal Spread,t-stat,p-value,Obs
Crisis,-0.00016077869176416953,-0.04094588724472727,0.9673945955271692,148
Non-Crisis,0.012534122783399923,14.94283646382485,2.2196299558399441e-44,750
