label,c_total,c_p,a_path,a_p,b_path,b_p,c_prime_direct,c_prime_p,indirect,sobel_p,boot_ci_lo,boot_ci_hi
Full Sample (CSAD),-0.05180683321479304,0.3003657983758371,-0.006693863328521551,0.4576137739701728,-1.2999508914188114,0.05743381808279385,-0.060508526815740295,0.23823037280798665,0.008701693600947281,0.48906546286934205,-0.034020093254506445,0.02221006352432947
Robustness (CSAD VN30),-0.05180683321479304,0.3003657983758371,-0.002668956257138766,0.7675398111164471,-1.4826032674924352,0.018493621762594642,-0.05576383648242148,0.2676484614152218,0.003957003267628315,0.7692972616404985,-0.050729501371958516,0.02277141182806444
