Regime,Mean Reversal Spread,t-stat,p-value,Obs
Bear,0.0018174329918561698,0.5736537651119924,0.5668278749456452,207
Bull,0.012190843675318502,11.719333788623919,7.73845645771036e-28,447
Sideways,0.013326727601700577,9.356058281985389,5.372928578777711e-18,247
